index,accX,accY,accZ,gyroX,gyroY,gyroZ
1,0.03955078125, -0.0283203125, -1.0634765625, -1.3414634146341464, 2.0121951219512195, -0.24390243902439027
3,0.03955078125, -0.0283203125, -1.0634765625, -1.3414634146341464, 2.0121951219512195, -0.24390243902439027
5,0.03271484375, -0.029296875, -1.0546875, -1.1585365853658538, 1.8902439024390245, -0.12195121951219513
7,0.03271484375, -0.029296875, -1.0546875, -1.1585365853658538, 1.8902439024390245, -0.12195121951219513
9,0.03955078125, -0.03271484375, -1.0615234375, -1.2804878048780488, 2.0121951219512195, 0.0
11,0.03955078125, -0.03271484375, -1.0615234375, -1.2804878048780488, 2.0121951219512195, 0.0
13,0.0361328125, -0.0263671875, -1.052734375, -1.1585365853658538, 1.9512195121951221, -0.24390243902439027
15,0.0361328125, -0.0263671875, -1.052734375, -1.1585365853658538, 1.9512195121951221, -0.24390243902439027
17,0.03759765625, -0.0283203125, -1.060546875, -1.1585365853658538, 1.8902439024390245, -0.1829268292682927
19,0.03759765625, -0.0283203125, -1.060546875, -1.1585365853658538, 1.8902439024390245, -0.1829268292682927
21,0.03662109375, -0.02783203125, -1.0615234375, -1.402439024390244, 1.9512195121951221, -0.24390243902439027
23,0.03662109375, -0.02783203125, -1.0615234375, -1.402439024390244, 1.9512195121951221, -0.24390243902439027
25,0.03466796875, -0.025390625, -1.06396484375, -1.0365853658536586, 1.829268292682927, -0.1829268292682927
27,0.03466796875, -0.025390625, -1.06396484375, -1.0365853658536586, 1.829268292682927, -0.1829268292682927
29,0.03466796875, -0.02734375, -1.05810546875, -1.3414634146341464, 2.0121951219512195, -0.1829268292682927
31,0.03466796875, -0.02734375, -1.05810546875, -1.3414634146341464, 2.0121951219512195, -0.1829268292682927
33,0.04296875, -0.02685546875, -1.05810546875, -1.1585365853658538, 1.9512195121951221, -0.24390243902439027
35,0.04296875, -0.02685546875, -1.05810546875, -1.1585365853658538, 1.9512195121951221, -0.24390243902439027
37,0.03564453125, -0.03076171875, -1.05322265625, -1.2195121951219514, 1.829268292682927, -0.1829268292682927
39,0.03564453125, -0.03076171875, -1.05322265625, -1.2195121951219514, 1.829268292682927, -0.1829268292682927
41,0.03759765625, -0.02880859375, -1.05615234375, -1.0365853658536586, 1.7682926829268295, -0.24390243902439027
43,0.03759765625, -0.02880859375, -1.05615234375, -1.0365853658536586, 1.7682926829268295, -0.24390243902439027
45,0.03125, -0.02685546875, -1.0576171875, -1.2195121951219514, 1.7682926829268295, -0.1829268292682927
47,0.03125, -0.02685546875, -1.0576171875, -1.2195121951219514, 1.7682926829268295, -0.1829268292682927
49,0.03564453125, -0.02734375, -1.0595703125, -1.0975609756097562, 1.829268292682927, -0.30487804878048785
51,0.03564453125, -0.02734375, -1.0595703125, -1.0975609756097562, 1.829268292682927, -0.30487804878048785
53,0.03515625, -0.03173828125, -1.0595703125, -1.0975609756097562, 2.073170731707317, 0.0
55,0.03515625, -0.03173828125, -1.0595703125, -1.0975609756097562, 2.073170731707317, 0.0
57,0.03369140625, -0.03076171875, -1.060546875, -0.9756097560975611, 1.8902439024390245, -0.12195121951219513
59,0.03369140625, -0.03076171875, -1.060546875, -0.9756097560975611, 1.8902439024390245, -0.12195121951219513
61,0.0361328125, -0.03125, -1.06201171875, -1.0975609756097562, 1.8902439024390245, -0.24390243902439027
63,0.0361328125, -0.03125, -1.06201171875, -1.0975609756097562, 1.8902439024390245, -0.24390243902439027
65,0.03857421875, -0.02783203125, -1.0615234375, -1.2804878048780488, 1.8902439024390245, -0.24390243902439027
67,0.03857421875, -0.02783203125, -1.0615234375, -1.2804878048780488, 1.8902439024390245, -0.24390243902439027
69,0.03271484375, -0.03515625, -1.052734375, -1.1585365853658538, 1.8902439024390245, -0.06097560975609757
71,0.03271484375, -0.03515625, -1.052734375, -1.1585365853658538, 1.8902439024390245, -0.06097560975609757
73,0.03369140625, -0.0244140625, -1.06787109375, -1.0975609756097562, 1.8902439024390245, -0.1829268292682927
75,0.03369140625, -0.0244140625, -1.06787109375, -1.0975609756097562, 1.8902439024390245, -0.1829268292682927
77,0.03564453125, -0.02880859375, -1.07177734375, -1.2804878048780488, 1.9512195121951221, -0.12195121951219513
79,0.03564453125, -0.02880859375, -1.07177734375, -1.2804878048780488, 1.9512195121951221, -0.12195121951219513
81,0.0400390625, -0.03076171875, -1.06005859375, -1.1585365853658538, 1.9512195121951221, -0.24390243902439027
83,0.0400390625, -0.03076171875, -1.06005859375, -1.1585365853658538, 1.9512195121951221, -0.24390243902439027
85,0.04052734375, -0.03369140625, -1.06787109375, -1.0365853658536586, 1.829268292682927, -0.24390243902439027
87,0.04052734375, -0.03369140625, -1.06787109375, -1.0365853658536586, 1.829268292682927, -0.24390243902439027
89,0.03564453125, -0.02685546875, -1.06396484375, -1.1585365853658538, 2.073170731707317, -0.24390243902439027
91,0.03564453125, -0.02685546875, -1.06396484375, -1.1585365853658538, 2.073170731707317, -0.24390243902439027
93,0.0361328125, -0.033203125, -1.0546875, -1.1585365853658538, 1.9512195121951221, -0.1829268292682927
95,0.0361328125, -0.033203125, -1.0546875, -1.1585365853658538, 1.9512195121951221, -0.1829268292682927
97,0.03369140625, -0.02734375, -1.05810546875, -1.2195121951219514, 2.073170731707317, -0.24390243902439027
